image_id,timestamp,latitude,longitude,robot_id,mission_id,panel_row,panel_column,panel_id,condition,confidence,cleaning_priority_score,annotated_image_path,detected_issues,original_image_path,source_label,model_source,gps_status,gps_distance_m,nearest_panel_id,sequence_panel_id,quality_laplacian_variance,quality_mean_brightness,quality_saturated_ratio,quality_dark_ratio
3ad7f021-f37c-4f47-990e-aa969b156346,2026-07-05T09:00:00+00:00,37.91566148,-122.31170642,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,1,1,SB-R01-C01,clean,0.9904,8,outputs\annotated\3ad7f021-f37c-4f47-990e-aa969b156346.jpg,,prepared\solar_cls\train\clean\clean_00046_clean-36.jpg,clean,yolov8,matched,0.45,SB-R01-C01,SB-R01-C01,5215.8712,103.2474,0.0059,0.0109
0f1ced27-d6c0-4144-a178-df822bf36c4d,2026-07-05T09:00:30+00:00,37.91566207,-122.31166372,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,1,3,SB-R01-C03,clean,0.9317,7,outputs\annotated\0f1ced27-d6c0-4144-a178-df822bf36c4d.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00047_clean-116.jpg,clean,yolov8,sequence_mismatch,0.636,SB-R01-C03,SB-R01-C02,3163.4613,92.2851,0.0095,0.194
eb017f10-e1eb-4aea-8eb0-0af252e46c95,2026-07-05T09:01:00+00:00,37.91566178,-122.31169103,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,1,2,SB-R01-C02,clean,0.9194,7,outputs\annotated\eb017f10-e1eb-4aea-8eb0-0af252e46c95.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00048_clean-43.jpg,clean,yolov8,sequence_mismatch,1.026,SB-R01-C02,SB-R01-C03,873.5213,132.2061,0.0392,0.0146
7c122502-7d1f-49a0-868f-d709f94d7dbb,2026-07-05T09:01:30+00:00,37.91567004,-122.31164025,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,1,4,SB-R01-C04,clean,0.6416,5,outputs\annotated\7c122502-7d1f-49a0-868f-d709f94d7dbb.jpg,,prepared\solar_cls\train\clean\clean_00049_1-11.jpg,clean,yolov8,matched,0.852,SB-R01-C04,SB-R01-C04,4818.572,104.0434,0.0315,0.0116
1f07ef4d-a73e-4417-a989-f20ac435f3cf,2026-07-05T09:02:00+00:00,37.91566017,-122.31160875,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,1,5,SB-R01-C05,clean,0.9377,8,outputs\annotated\1f07ef4d-a73e-4417-a989-f20ac435f3cf.jpg,,prepared\solar_cls\train\clean\clean_00050_clean-92.jpg,clean,yolov8,matched,0.491,SB-R01-C05,SB-R01-C05,3002.8263,106.5212,0.0016,0.023
661b2ea7-1d15-40c3-91de-6b642a4f3054,2026-07-05T09:02:30+00:00,37.91566824,-122.31156212,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,1,7,SB-R01-C07,clean,0.9699,8,outputs\annotated\661b2ea7-1d15-40c3-91de-6b642a4f3054.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00051_clean-148.jpg,clean,yolov8,sequence_mismatch,0.568,SB-R01-C07,SB-R01-C06,3225.1673,59.9145,0.0104,0.1123
1704a4ca-1022-4b17-9ce0-f10b4ee92a7e,2026-07-05T09:03:00+00:00,37.91567586,-122.31156332,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,2,7,SB-R02-C07,clean,0.6869,5,outputs\annotated\1704a4ca-1022-4b17-9ce0-f10b4ee92a7e.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00052_1-10.jpg,clean,yolov8,sequence_mismatch,0.721,SB-R02-C07,SB-R01-C07,4690.9,104.3715,0.031,0.0139
f1497376-46a5-4480-a170-90c28b41049e,2026-07-05T09:03:30+00:00,37.9156508,-122.31156617,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,1,7,SB-R01-C07,clean,0.5048,4,outputs\annotated\f1497376-46a5-4480-a170-90c28b41049e.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00053_1-13.jpg,clean,yolov8,sequence_mismatch,1.475,SB-R01-C07,SB-R01-C08,3045.3229,105.0971,0.0204,0.0075
a3a10b1d-dbb3-46bd-8379-2c04c53bcc4c,2026-07-05T09:04:00+00:00,37.91566849,-122.31149044,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,1,10,SB-R01-C10,clean,0.7642,6,outputs\annotated\a3a10b1d-dbb3-46bd-8379-2c04c53bcc4c.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00054_clean-8.jpg,clean,yolov8,sequence_mismatch,0.793,SB-R01-C10,SB-R01-C09,1587.6965,65.7849,0.0022,0.3576
47c2d135-d75d-452e-82ba-c6f5e5719b30,2026-07-05T09:04:30+00:00,37.91566482,-122.31149994,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,1,10,SB-R01-C10,clean,0.7377,6,outputs\annotated\47c2d135-d75d-452e-82ba-c6f5e5719b30.jpg,,prepared\solar_cls\train\clean\clean_00055_clean-109.jpg,clean,yolov8,matched,0.228,SB-R01-C10,SB-R01-C10,1800.4072,124.452,0.0193,0.012
